label,r,lag,state,count,A_p,A_m,A_pm
cube320_t0041,48,4,B,27000.0,0.2397849584512637,0.301269277293001,0.21019740990733576
cube320_t0041,48,4,HL,1010.0,0.6684547501899603,1.1250948325162886,0.733638039540343
cube320_t0041,48,4,HS,1990.0,0.7893113672214429,1.0766807485981558,0.8044392620919314
cube320_t0041,64,4,B,27000.0,0.26711397873393644,0.36595399318358957,0.24241335564786093
cube320_t0041,64,4,HL,1100.0,0.6775345043839768,1.2119096365202557,0.7856698147627192
cube320_t0041,64,4,HS,1900.0,0.795641159785577,1.2247949174354242,0.8574783630299309
cube320_t0041,80,4,B,27000.0,0.2794460932709603,0.4212221891946155,0.2656116177429368
cube320_t0041,80,4,HL,1000.0,0.7050567785809033,1.2692443294274174,0.8290103724760789
cube320_t0041,80,4,HS,2000.0,0.7941794815438178,1.2810510655428233,0.8941118473240877
cube320_t0041,96,4,B,27000.0,0.2948283053262137,0.45964176136151513,0.28836127836808706
cube320_t0041,96,4,HL,944.0,0.7370271858146781,1.3799095201999672,0.8837610457745223
cube320_t0041,96,4,HS,2056.0,0.8557369958242894,1.3798375469455384,0.9633268242374355
cube320_t0041,128,4,B,27000.0,0.32745804457778266,0.5523061115073516,0.3340015463933671
cube320_t0041,128,4,HL,942.0,0.7883222051092519,1.414864862118245,0.9466020095150388
cube320_t0041,128,4,HS,2058.0,0.8775380529949267,1.524812071988696,1.0364817010519483
cube320_t0041,160,4,B,27000.0,0.3788977309490395,0.6121550424173219,0.38137406401894897
cube320_t0041,160,4,HL,942.0,0.8231837009756746,1.7424980034655926,1.0799475488898598
cube320_t0041,160,4,HS,2058.0,1.0125399529326287,1.6018041481294367,1.1425876529648
cube320_t0041,192,4,B,27000.0,0.4309378934219558,0.5947635175672756,0.39924939342540244
cube320_t0041,192,4,HL,874.0,0.8435986643315075,1.8289466885701227,1.121212913740015
cube320_t0041,192,4,HS,2126.0,1.042928087776931,1.7387839692229758,1.2075242867362717
cube320_t0045,32,1,B,108000.0,0.2335642304079281,0.20821284664944392,0.16501991658737136
cube320_t0045,32,1,HL,3498.0,0.8115157804874165,0.7272418276526494,0.6505972552673102
cube320_t0045,32,1,HS,8502.0,0.9138123581158569,0.7486136434064092,0.7108122531736619
cube320_t0045,48,1,B,108000.0,0.307399564051255,0.25332368899568153,0.21185905024755508
cube320_t0045,48,1,HL,3872.0,0.9678142048901605,0.7909155846425796,0.7552326654965523
cube320_t0045,48,1,HS,8128.0,1.0351972532863178,0.8069271219838791,0.7895153510411614
cube320_t0045,64,1,B,108000.0,0.37381592575484496,0.2860166972752243,0.25104542968220345
cube320_t0045,64,1,HL,4058.0,1.0779349575924853,0.8312632439224599,0.8361948852407152
cube320_t0045,64,1,HS,7942.0,1.1278003465369388,0.8532718656893657,0.8602699753863102
cube320_t0045,80,1,B,108000.0,0.4275768556989859,0.3237870060854042,0.2871126040622355
cube320_t0045,80,1,HL,4074.0,1.1345330920692718,0.9231929962168054,0.9188289552697082
cube320_t0045,80,1,HS,7926.0,1.2386422364617724,0.9103345724104209,0.9443288677945504
cube320_t0045,96,1,B,108000.0,0.49396112599414355,0.34682457166181674,0.32237537189825977
