label,r,lag,start_index,state,count,sum_S2p,sum_S2m,sum_S2pm
cube320_t0022,128,1,1,HL,1108.0,1703.3952296734758,1763.9768180768551,1565.2280323455361
cube320_t0022,128,2,1,B,27000.0,11972.91000578583,21161.309590803205,12492.937364009265
cube320_t0022,128,2,1,HS,1892.0,2490.3572630159874,3607.0913441739663,2702.860115088973
cube320_t0022,128,2,1,HL,1108.0,1703.3952296734758,1763.9768180768551,1565.2280323455361
cube320_t0022,128,1,2,B,27000.0,11696.165784291408,21288.99470306005,12365.489899593593
cube320_t0022,128,1,2,HS,1828.0,2519.7847393547363,3507.6177547849134,2645.4931662123345
cube320_t0022,128,1,2,HL,1172.0,1754.54357424626,1915.2963068338686,1640.666844878781
cube320_t0022,128,2,2,B,27000.0,11696.165784291408,21288.99470306005,12365.489899593593
cube320_t0022,128,2,2,HS,1828.0,2519.7847393547363,3507.6177547849134,2645.4931662123345
cube320_t0022,128,2,2,HL,1172.0,1754.54357424626,1915.2963068338686,1640.666844878781
cube320_t0022,128,1,3,B,27000.0,11460.265991747403,21173.164212370473,12220.010049708662
cube320_t0022,128,1,3,HS,1860.0,2445.717992625,3593.9682489466963,2624.2471469273646
cube320_t0022,128,1,3,HL,1140.0,1728.3365599809208,1833.9000148489145,1602.1468600323565
cube320_t0022,160,1,0,B,27000.0,13668.690128201888,24963.680969618825,13898.822855437575
cube320_t0022,160,1,0,HS,1900.0,2467.2806917960047,3936.43284796135,2815.420386763309
cube320_t0022,160,1,0,HL,1100.0,1756.2536690267075,1830.4061262340344,1590.9224559796735
cube320_t0022,160,2,0,B,27000.0,13668.690128201888,24963.680969618825,13898.822855437575
cube320_t0022,160,2,0,HS,1900.0,2467.2806917960047,3936.43284796135,2815.420386763309
cube320_t0022,160,2,0,HL,1100.0,1756.2536690267075,1830.4061262340344,1590.9224559796735
cube320_t0022,160,4,0,B,27000.0,13668.690128201888,24963.680969618825,13898.822855437575
cube320_t0022,160,4,0,HS,1900.0,2467.2806917960047,3936.43284796135,2815.420386763309
cube320_t0022,160,4,0,HL,1100.0,1756.2536690267075,1830.4061262340344,1590.9224559796735
cube320_t0022,160,1,1,B,27000.0,13434.705240071531,24760.151832235824,13719.409357229435
cube320_t0022,160,1,1,HS,1848.0,2325.032844258873,3835.417477091978,2712.348965105187
cube320_t0022,160,1,1,HL,1152.0,1729.6730414390152,1887.4450890834178,1600.6588927798412
cube320_t0022,160,2,1,B,27000.0,13434.705240071531,24760.151832235824,13719.409357229435
cube320_t0022,160,2,1,HS,1848.0,2325.032844258873,3835.417477091978,2712.348965105187
cube320_t0022,160,2,1,HL,1152.0,1729.6730414390152,1887.4450890834178,1600.6588927798412
cube320_t0022,160,1,2,B,27000.0,13908.001217633313,24808.73125178296,14001.976842945443
cube320_t0022,160,1,2,HS,1854.0,2359.1750825731515,3770.8171492145,2721.638015194391
cube320_t0022,160,1,2,HL,1146.0,1858.9879686767108,1865.3284900148458,1628.384430580781
cube320_t0022,160,2,2,B,27000.0,13908.001217633313,24808.73125178296,14001.976842945443
cube320_t0022,160,2,2,HS,1854.0,2359.1750825731515,3770.8171492145,2721.638015194391
cube320_t0022,160,2,2,HL,1146.0,1858.9879686767108,1865.3284900148458,1628.384430580781
cube320_t0022,160,1,3,B,27000.0,13542.512220802017,24959.829796569804,13870.467317046892
cube320_t0022,160,1,3,HS,1822.0,2331.583720509547,3879.435768654851,2716.699465611299
cube320_t0022,160,1,3,HL,1178.0,1883.1081034658498,1957.5444349553713,1697.062975263067
cube320_t0022,192,1,0,B,27000.0,16747.69029238016,24757.95558870718,14594.893950775939
cube320_t0022,192,1,0,HS,1784.0,2363.0314969166825,3552.047870876464,2602.6517849027305
cube320_t0022,192,1,0,HL,1216.0,2102.262595921431,1892.5112677934596,1746.0114035922159
cube320_t0022,192,2,0,B,27000.0,16747.69029238016,24757.95558870718,14594.893950775939
cube320_t0022,192,2,0,HS,1784.0,2363.0314969166825,3552.047870876464,2602.6517849027305
cube320_t0022,192,2,0,HL,1216.0,2102.262595921431,1892.5112677934596,1746.0114035922159
cube320_t0022,192,4,0,B,27000.0,16747.69029238016,24757.95558870718,14594.893950775939
cube320_t0022,192,4,0,HS,1784.0,2363.0314969166825,3552.047870876464,2602.6517849027305
cube320_t0022,192,4,0,HL,1216.0,2102.262595921431,1892.5112677934596,1746.0114035922159
cube320_t0022,192,1,1,B,27000.0,16862.253277050822,24851.557304118473,14590.29427567191
cube320_t0022,192,1,1,HS,1772.0,2325.4491323643138,3537.1601174815237,2551.462223202988
cube320_t0022,192,1,1,HL,1228.0,2073.2933533003647,1882.6245305080859,1728.4394288052213
cube320_t0022,192,2,1,B,27000.0,16862.253277050822,24851.557304118473,14590.29427567191
cube320_t0022,192,2,1,HS,1772.0,2325.4491323643138,3537.1601174815237,2551.462223202988
